	#%Freq (Hz)	%Mic/Source_Real	%Mic/Source_Imag
128.000000000000030E+0	-25.446320284175390E-3	-23.252879918480369E-3
128.500000000000030E+0	-26.361595632701625E-3	-23.044100891405996E-3
129.000000000000030E+0	-26.999331479970693E-3	-22.551764695240048E-3
129.500000000000030E+0	-28.012205921508344E-3	-22.266929480073239E-3
130.000000000000030E+0	-28.014160567801916E-3	-21.535302693211300E-3
130.500000000000030E+0	-28.321790587192541E-3	-20.520788801240024E-3
131.000000000000030E+0	-27.049705710019932E-3	-20.306775920987889E-3
131.500000000000030E+0	-27.186586433017676E-3	-19.981858795024635E-3
132.000000000000030E+0	-26.225183593742749E-3	-19.956674679239658E-3
132.500000000000030E+0	-26.200502857865640E-3	-19.967242764456140E-3
133.000000000000030E+0	-25.597175639892222E-3	-20.853698200667254E-3
133.500000000000030E+0	-25.225804980111590E-3	-21.217183124364162E-3
134.000000000000030E+0	-24.781133669925803E-3	-21.216974886787608E-3
134.500000000000030E+0	-24.998551183429699E-3	-21.225647140831173E-3
135.000000000000030E+0	-25.914535559760764E-3	-21.735584688016837E-3
135.500000000000030E+0	-26.656832670816550E-3	-21.515020198727416E-3
136.000000000000030E+0	-25.836405528344389E-3	-21.557641630367906E-3
136.500000000000030E+0	-26.227949749764480E-3	-21.264689674990275E-3
137.000000000000030E+0	-26.112131564190746E-3	-21.178723759091876E-3
137.500000000000030E+0	-25.975020460646110E-3	-21.119842777082024E-3
138.000000000000030E+0	-25.619861938049091E-3	-21.089999122541100E-3
138.500000000000030E+0	-26.496928012749551E-3	-20.820999986782815E-3
139.000000000000030E+0	-25.977112089300768E-3	-21.115935408601509E-3
139.500000000000030E+0	-25.943924448940770E-3	-21.452660170174446E-3
140.000000000000030E+0	-25.681140492759404E-3	-21.804545110628900E-3
140.500000000000030E+0	-25.034290196099877E-3	-21.439086024753227E-3
141.000000000000030E+0	-25.040346038161011E-3	-21.758747994163854E-3
141.500000000000030E+0	-25.031637000180643E-3	-21.879558752705343E-3
142.000000000000030E+0	-25.358943931859924E-3	-21.871738224496610E-3
142.500000000000030E+0	-25.400773552971656E-3	-21.624802451787984E-3
143.000000000000030E+0	-25.493581172483768E-3	-22.395587177426388E-3
143.500000000000030E+0	-26.119716407187892E-3	-22.326459892164141E-3
144.000000000000030E+0	-26.245734926320409E-3	-22.138970786214487E-3
144.500000000000030E+0	-25.924310435011602E-3	-21.941546475325594E-3
145.000000000000030E+0	-26.253016288798801E-3	-22.351342809284802E-3
145.500000000000030E+0	-26.195794323243628E-3	-22.397859970571685E-3
146.000000000000030E+0	-25.771825344114374E-3	-22.290039531623788E-3
146.500000000000030E+0	-25.700839054140733E-3	-22.048813133774960E-3
147.000000000000030E+0	-25.281704861013859E-3	-21.946650880390075E-3
147.500000000000030E+0	-24.549535510863894E-3	-22.503391586016028E-3
148.000000000000030E+0	-23.689650825060367E-3	-22.774260805707280E-3
148.500000000000030E+0	-23.249211004725382E-3	-23.436854000344998E-3
149.000000000000030E+0	-22.907491190983988E-3	-24.476931653394082E-3
149.500000000000030E+0	-23.264898150785369E-3	-25.328400429776077E-3
150.000000000000030E+0	-23.789149051537308E-3	-26.332572279585988E-3
150.500000000000030E+0	-24.370205176530105E-3	-27.443446698999185E-3
151.000000000000030E+0	-25.273001317864738E-3	-27.905364633910329E-3
151.500000000000030E+0	-25.738074766943109E-3	-29.337906856038386E-3
152.000000000000030E+0	-26.806050946230474E-3	-30.880781275590182E-3
152.500000000000030E+0	-27.132240211946025E-3	-31.086281350640940E-3
153.000000000000030E+0	-28.267249805046343E-3	-31.239902356165996E-3
153.500000000000030E+0	-30.965315395894370E-3	-31.012985008057596E-3
154.000000000000030E+0	-31.247570297138268E-3	-31.415391309194622E-3
154.500000000000030E+0	-31.088463035587068E-3	-31.056408272296443E-3
155.000000000000030E+0	-32.657896395787832E-3	-29.493127365070568E-3
155.500000000000030E+0	-32.702251316394849E-3	-29.066089234698417E-3
156.000000000000030E+0	-32.524235556736343E-3	-30.999468506582740E-3
156.500000000000030E+0	-32.992346341259179E-3	-30.274013676119326E-3
157.000000000000030E+0	-33.073490003089630E-3	-29.915483262507109E-3
157.500000000000030E+0	-34.803761697031553E-3	-32.082058580957883E-3
158.000000000000030E+0	-36.229171505274715E-3	-31.382247826851201E-3
158.500000000000030E+0	-37.311553019571161E-3	-29.319464960420653E-3
159.000000000000030E+0	-38.632544978580152E-3	-29.712421240248185E-3
159.500000000000030E+0	-38.530554862972299E-3	-29.908247435325285E-3
160.000000000000030E+0	-37.237141190939980E-3	-28.441103112575535E-3
160.500000000000030E+0	-38.778499379088671E-3	-28.698220638421534E-3
161.000000000000030E+0	-40.519814241456516E-3	-27.609565153586688E-3
161.500000000000030E+0	-39.764958901696734E-3	-25.851259803561143E-3
162.000000000000030E+0	-39.450601202517095E-3	-24.542901341473303E-3
162.500000000000030E+0	-38.597985978296952E-3	-23.846361242274145E-3
163.000000000000030E+0	-37.910105195667565E-3	-23.275606765056994E-3
163.500000000000030E+0	-37.397063396167281E-3	-23.870002354914224E-3
164.000000000000030E+0	-36.935970364313848E-3	-25.097519318129511E-3
164.500000000000030E+0	-36.306822359149719E-3	-25.575612588629382E-3
165.000000000000030E+0	-36.587694412467307E-3	-25.762373613166346E-3
165.500000000000030E+0	-37.095943797146341E-3	-26.395733318590693E-3
166.000000000000030E+0	-37.136804316094653E-3	-27.323647800998406E-3
166.500000000000030E+0	-37.661715544404332E-3	-27.590135877836774E-3
167.000000000000030E+0	-38.307208284056850E-3	-27.452057071400058E-3
167.500000000000030E+0	-38.840383557584020E-3	-27.606541132843779E-3
168.000000000000030E+0	-39.910952471019827E-3	-27.866108506963635E-3
168.500000000000030E+0	-40.646282750903505E-3	-27.394178800603949E-3
169.000000000000030E+0	-41.126751220978246E-3	-26.579640803032694E-3
169.500000000000030E+0	-41.107599476029037E-3	-26.668537670995252E-3
170.000000000000030E+0	-41.665888631032190E-3	-26.811178630961285E-3
170.500000000000030E+0	-41.218446556747147E-3	-26.662028469989309E-3
171.000000000000030E+0	-41.461362059680679E-3	-26.330757451764348E-3
171.500000000000030E+0	-41.250456387134829E-3	-27.507309488322990E-3
172.000000000000030E+0	-42.204897394696017E-3	-28.612421894273848E-3
172.500000000000030E+0	-43.644022604145037E-3	-27.997088966211735E-3
173.000000000000030E+0	-43.602160733179511E-3	-27.468860815033778E-3
173.500000000000030E+0	-43.254840488739364E-3	-26.354820971308080E-3
174.000000000000030E+0	-43.636802179311811E-3	-25.918866604324242E-3
174.500000000000030E+0	-44.707473316719974E-3	-26.325057980878187E-3
175.000000000000030E+0	-44.616131535048058E-3	-26.233770945928745E-3
175.500000000000030E+0	-45.081209067867230E-3	-26.031768019298601E-3
176.000000000000030E+0	-45.341199013704765E-3	-26.451076223578517E-3
176.500000000000030E+0	-45.081700958315596E-3	-26.653336662216434E-3
177.000000000000030E+0	-45.635278140866223E-3	-26.334087098139981E-3
177.500000000000030E+0	-45.773950072768091E-3	-26.362487726136957E-3
178.000000000000030E+0	-45.564366616478946E-3	-27.452421006750067E-3
178.500000000000030E+0	-45.499124606910989E-3	-27.577994671914040E-3
179.000000000000030E+0	-46.252764990395726E-3	-27.892226030397288E-3
179.500000000000030E+0	-47.019045776221381E-3	-28.486184353883726E-3
180.000000000000030E+0	-47.951690015187461E-3	-28.639362963095549E-3
180.500000000000030E+0	-48.993677899153799E-3	-28.411535354337294E-3
181.000000000000030E+0	-49.891290218059117E-3	-27.913977345345221E-3
181.500000000000030E+0	-50.631557564434278E-3	-27.526756712422017E-3
182.000000000000030E+0	-51.214720656999647E-3	-27.731718226696105E-3
182.500000000000030E+0	-51.544920532615633E-3	-27.750700052584738E-3
183.000000000000030E+0	-51.994969874047454E-3	-27.892578443689028E-3
183.500000000000030E+0	-52.581863115827458E-3	-28.016883797259529E-3
184.000000000000030E+0	-52.816787744477678E-3	-28.402116850407721E-3
184.500000000000030E+0	-53.873874393489785E-3	-28.397586430968319E-3
185.000000000000030E+0	-54.252644268277965E-3	-28.400036440010851E-3
185.500000000000030E+0	-55.005173255722392E-3	-27.552005594962892E-3
186.000000000000030E+0	-56.566340542482725E-3	-27.242100211292506E-3
186.500000000000030E+0	-57.266263284430796E-3	-27.281097378795360E-3
187.000000000000030E+0	-57.383011034666899E-3	-26.902809055154082E-3
187.500000000000030E+0	-58.257098822613235E-3	-26.705400075432269E-3
188.000000000000030E+0	-58.824920921886084E-3	-26.740648531250313E-3
188.500000000000030E+0	-59.550575419321378E-3	-26.356848191218449E-3
189.000000000000030E+0	-60.582736095794697E-3	-26.456641110502839E-3
189.500000000000030E+0	-61.228507191880568E-3	-26.767246746285889E-3
190.000000000000030E+0	-61.830388951616064E-3	-25.928207704819749E-3
190.500000000000030E+0	-62.709481740281167E-3	-25.745124877399189E-3
191.000000000000030E+0	-63.183785344609916E-3	-25.318816867803767E-3
191.500000000000030E+0	-63.628939346428201E-3	-24.542802400523329E-3
192.000000000000030E+0	-64.834538775286069E-3	-24.451519782675887E-3
192.500000000000030E+0	-65.361893665454002E-3	-23.999580883059139E-3
193.000000000000030E+0	-67.284731568040157E-3	-23.659345300963971E-3
